Pairwise comparison,Experiment,Study,Species A,Species B,Species pair,AinA mean,AinA_mean_reestimate,AinA se,AinA_se_reestimate,AinA N,AinB mean,AinB_mean_reestimate,AinB se,AinB N,AinB_se_reestimate,BinB mean,BinB_mean_reestimate,BinB se,BinB N,BinB_se_reestimate,BinA mean,BinA_mean_reestimate,BinA se,BinA N,BinA_se_reestimate
410,69,161,symphyotrichum_novae-angliae,ratibida_pinnata,ratibida_pinnata_symphyotrichum_novae-angliae,0.91,,0.081449984,,5,1.009,,0.139947609,3,,0.652,,0.121548344,5,,1.15,,0.088881944,3,
411,69,161,symphyotrichum_novae-angliae,rudbeckia_hirta,rudbeckia_hirta_symphyotrichum_novae-angliae,0.91,,0.081449984,,5,0.589333333,,0.150129203,3,,0.782,,0.199459269,5,,1.343333333,,0.218352416,3,
412,69,161,symphyotrichum_novae-angliae,sporobolus_heterolepis,sporobolus_heterolepis_symphyotrichum_novae-angliae,0.91,,0.081449984,,5,0.427,,0.219754408,3,,0.182,,0.051736512,4,,0.277666667,,0.015930404,3,
413,69,161,elymus_canadensis,eryngium_yuccifolium,elymus_canadensis_eryngium_yuccifolium,0.9346,,0.118089204,,5,1.649333333,,0.150880011,3,,0.15625,,0.043463347,4,,0.08,,0.050083264,3,
414,69,161,elymus_canadensis,panicum_virgatum,elymus_canadensis_panicum_virgatum,0.9346,,0.118089204,,5,1.611666667,,0.311223571,3,,1.764,,0.419484803,5,,1.089,,0.50550206,3,
415,69,161,elymus_canadensis,parthenium_integrifolium,elymus_canadensis_parthenium_integrifolium,0.9346,,0.118089204,,5,1.371666667,,0.099340044,3,,0.75036,,0.107680312,5,,0.78,,0.216333077,3,
416,69,161,elymus_canadensis,ratibida_pinnata,elymus_canadensis_ratibida_pinnata,0.9346,,0.118089204,,5,1.622666667,,0.358076962,3,,0.652,,0.121548344,5,,0.996666667,,0.176288904,3,
417,69,161,elymus_canadensis,rudbeckia_hirta,elymus_canadensis_rudbeckia_hirta,0.9346,,0.118089204,,5,1.275666667,,0.117121494,3,,0.782,,0.199459269,5,,0.986666667,,0.350539267,3,
418,69,161,elymus_canadensis,sporobolus_heterolepis,elymus_canadensis_sporobolus_heterolepis,0.9346,,0.118089204,,5,0.696333333,,0.377757565,3,,0.182,,0.051736512,4,,0.367,,0.105077749,3,
419,69,161,eryngium_yuccifolium,panicum_virgatum,eryngium_yuccifolium_panicum_virgatum,0.15625,,0.043463347,,4,0.127,,0.063,3,,1.764,,0.419484803,5,,2.557,,0.448136512,3,
420,69,161,eryngium_yuccifolium,parthenium_integrifolium,eryngium_yuccifolium_parthenium_integrifolium,0.15625,,0.043463347,,4,0.094333333,,0.038106576,3,,0.75036,,0.107680312,5,,0.376666667,,0.094926872,3,
421,69,161,eryngium_yuccifolium,ratibida_pinnata,eryngium_yuccifolium_ratibida_pinnata,0.15625,,0.043463347,,4,0.0675,,0.0425,2,,0.652,,0.121548344,5,,1.046666667,,0.428070607,3,
422,69,161,eryngium_yuccifolium,rudbeckia_hirta,eryngium_yuccifolium_rudbeckia_hirta,0.15625,,0.043463347,,4,0.062,,0.008144528,3,,0.782,,0.199459269,5,,0.848333333,,0.378179117,3,
423,69,161,eryngium_yuccifolium,sporobolus_heterolepis,eryngium_yuccifolium_sporobolus_heterolepis,0.15625,,0.043463347,,4,0.045,,0,1,,0.182,,0.051736512,4,,0.288333333,,0.100223639,3,
424,69,161,panicum_virgatum,parthenium_integrifolium,panicum_virgatum_parthenium_integrifolium,1.764,,0.419484803,,5,1.632,,0.402200613,3,,0.75036,,0.107680312,5,,1.47,,0.398497177,3,
425,69,161,panicum_virgatum,ratibida_pinnata,panicum_virgatum_ratibida_pinnata,1.764,,0.419484803,,5,2.077333333,,0.422334912,3,,0.652,,0.121548344,5,,1.25,,0.30664855,3,
426,69,161,panicum_virgatum,rudbeckia_hirta,panicum_virgatum_rudbeckia_hirta,1.764,,0.419484803,,5,2.186666667,,0.84653201,3,,0.782,,0.199459269,5,,0.979333333,,0.05159565,3,
427,69,161,panicum_virgatum,sporobolus_heterolepis,panicum_virgatum_sporobolus_heterolepis,1.764,,0.419484803,,5,2.053,,0.337178489,3,,0.182,,0.051736512,4,,0.254333333,,0.067444628,3,
428,69,161,parthenium_integrifolium,ratibida_pinnata,parthenium_integrifolium_ratibida_pinnata,0.75036,,0.107680312,,5,1.045666667,,0.347706933,3,,0.652,,0.121548344,5,,0.76,,0.217332311,3,
429,69,161,parthenium_integrifolium,rudbeckia_hirta,parthenium_integrifolium_rudbeckia_hirta,0.75036,,0.107680312,,5,0.691333333,,0.079808799,3,,0.782,,0.199459269,5,,0.426666667,,0.125476868,3,
430,69,161,parthenium_integrifolium,sporobolus_heterolepis,parthenium_integrifolium_sporobolus_heterolepis,0.75036,,0.107680312,,5,0.316666667,,0.202182536,3,,0.182,,0.051736512,4,,0.34,,0.058799093,3,
431,69,161,ratibida_pinnata,rudbeckia_hirta,ratibida_pinnata_rudbeckia_hirta,0.652,,0.121548344,,5,0.696666667,,0.159826295,3,,0.782,,0.199459269,5,,0.96,,0.277128129,3,
432,69,161,ratibida_pinnata,sporobolus_heterolepis,ratibida_pinnata_sporobolus_heterolepis,0.652,,0.121548344,,5,0.57,,0.170391705,3,,0.182,,0.051736512,4,,0.176666667,,0.115623431,3,
433,69,161,rudbeckia_hirta,sporobolus_heterolepis,rudbeckia_hirta_sporobolus_heterolepis,0.782,,0.199459269,,5,0.956666667,,0.026666667,3,,0.182,,0.051736512,4,,0.058,,0.051,2,
434,72,161,andropogon_gerardii,symphyotrichum_novae-angliae,andropogon_gerardii_symphyotrichum_novae-angliae,1.5942,,0.410956494,,5,2.965333333,,0.07943411,3,,2.1614,,1.369375025,5,,0.757333333,,0.134978188,3,
435,72,161,andropogon_gerardii,elymus_canadensis,andropogon_gerardii_elymus_canadensis,1.5942,,0.410956494,,5,1.649,,0.353322799,3,,0.5236,,0.093572218,5,,0.280666667,,0.043910262,3,
436,72,161,andropogon_gerardii,eryngium_yuccifolium,andropogon_gerardii_eryngium_yuccifolium,1.5942,,0.410956494,,5,2.988666667,,0.100461159,3,,0.1574,,0.033307056,5,,0.127666667,,0.039498242,3,
437,72,161,andropogon_gerardii,panicum_virgatum,andropogon_gerardii_panicum_virgatum,1.5942,,0.410956494,,5,3.136666667,,0.358655049,3,,1.2034,,0.317937824,5,,1.203666667,,0.283505634,3,
438,72,161,andropogon_gerardii,parthenium_integrifolium,andropogon_gerardii_parthenium_integrifolium,1.5942,,0.410956494,,5,2.585,,0.229238595,3,,1.2396,,0.173875415,5,,0.967666667,,0.159350069,3,
439,72,161,andropogon_gerardii,ratibida_pinnata,andropogon_gerardii_ratibida_pinnata,1.5942,,0.410956494,,5,1.715666667,,0.326141244,3,,1.1496,,0.143316643,5,,1.161333333,,0.204802615,3,
440,72,161,andropogon_gerardii,rudbeckia_hirta,andropogon_gerardii_rudbeckia_hirta,1.5942,,0.410956494,,5,2.406,,0.230200637,3,,1.2054,,0.263357286,5,,1.629666667,,0.302123779,3,
441,72,161,andropogon_gerardii,sporobolus_heterolepis,andropogon_gerardii_sporobolus_heterolepis,1.5942,,0.410956494,,5,2.1135,,0.6165,2,,0.3984,,0.187150902,5,,0.3435,,0.0435,2,
442,72,161,symphyotrichum_novae-angliae,elymus_canadensis,elymus_canadensis_symphyotrichum_novae-angliae,2.1614,,1.369375025,,5,0.865,,0.049,3,,0.5236,,0.093572218,5,,1.391333333,,0.389470723,3,
443,72,161,symphyotrichum_novae-angliae,eryngium_yuccifolium,eryngium_yuccifolium_symphyotrichum_novae-angliae,2.1614,,1.369375025,,5,0.852666667,,0.164463099,3,,0.1574,,0.033307056,5,,0.204333333,,0.052619177,3,
444,72,161,symphyotrichum_novae-angliae,panicum_virgatum,panicum_virgatum_symphyotrichum_novae-angliae,2.1614,,1.369375025,,5,0.649666667,,0.241039646,3,,1.2034,,0.317937824,5,,3.023333333,,0.060067554,3,
445,72,161,symphyotrichum_novae-angliae,parthenium_integrifolium,parthenium_integrifolium_symphyotrichum_novae-angliae,2.1614,,1.369375025,,5,0.693333333,,0.131318104,3,,1.2396,,0.173875415,5,,1.091666667,,0.086151675,3,
446,72,161,symphyotrichum_novae-angliae,ratibida_pinnata,ratibida_pinnata_symphyotrichum_novae-angliae,2.1614,,1.369375025,,5,0.951333333,,0.2091063,3,,1.1496,,0.143316643,5,,1.168,,0.085160632,3,
447,72,161,symphyotrichum_novae-angliae,rudbeckia_hirta,rudbeckia_hirta_symphyotrichum_novae-angliae,2.1614,,1.369375025,,5,1.407333333,,0.132364816,3,,1.2054,,0.263357286,5,,2.990666667,,0.711656831,3,
448,72,161,symphyotrichum_novae-angliae,sporobolus_heterolepis,sporobolus_heterolepis_symphyotrichum_novae-angliae,2.1614,,1.369375025,,5,1.283333333,,0.052387445,3,,0.3984,,0.187150902,5,,0.520666667,,0.188857383,3,
449,72,161,elymus_canadensis,eryngium_yuccifolium,elymus_canadensis_eryngium_yuccifolium,0.5236,,0.093572218,,5,2.224666667,,0.308469519,3,,0.1574,,0.033307056,5,,0.235333333,,0.066388587,3,
450,72,161,elymus_canadensis,panicum_virgatum,elymus_canadensis_panicum_virgatum,0.5236,,0.093572218,,5,0.149,,0.051384174,3,,1.2034,,0.317937824,5,,1.051,,0.157502381,3,
451,72,161,elymus_canadensis,parthenium_integrifolium,elymus_canadensis_parthenium_integrifolium,0.5236,,0.093572218,,5,1.824333333,,0.195567834,3,,1.2396,,0.173875415,5,,1.078333333,,0.057184885,3,
452,72,161,elymus_canadensis,ratibida_pinnata,elymus_canadensis_ratibida_pinnata,0.5236,,0.093572218,,5,1.974,,0.347326935,3,,1.1496,,0.143316643,5,,1.801333333,,0.302470568,3,
453,72,161,elymus_canadensis,rudbeckia_hirta,elymus_canadensis_rudbeckia_hirta,0.5236,,0.093572218,,5,1.344666667,,0.298720791,3,,1.2054,,0.263357286,5,,2.108,,0.117364106,3,
454,72,161,elymus_canadensis,sporobolus_heterolepis,elymus_canadensis_sporobolus_heterolepis,0.5236,,0.093572218,,5,0.696333333,,0.251340628,3,,0.3984,,0.187150902,5,,0.443333333,,0.091108604,3,
455,72,161,eryngium_yuccifolium,panicum_virgatum,eryngium_yuccifolium_panicum_virgatum,0.1574,,0.033307056,,5,0.311,,0.017214335,3,,1.2034,,0.317937824,5,,2.450666667,,0.110550642,3,
456,72,161,eryngium_yuccifolium,parthenium_integrifolium,eryngium_yuccifolium_parthenium_integrifolium,0.1574,,0.033307056,,5,0.154333333,,0.060139652,3,,1.2396,,0.173875415,5,,1.299333333,,0.078167199,3,
457,72,161,eryngium_yuccifolium,ratibida_pinnata,eryngium_yuccifolium_ratibida_pinnata,0.1574,,0.033307056,,5,0.061,,0.015,2,,1.1496,,0.143316643,5,,1.052333333,,0.087140372,3,
458,72,161,eryngium_yuccifolium,rudbeckia_hirta,eryngium_yuccifolium_rudbeckia_hirta,0.1574,,0.033307056,,5,0.128333333,,0.052231323,3,,1.2054,,0.263357286,5,,2.785333333,,0.148856008,3,
459,72,161,eryngium_yuccifolium,sporobolus_heterolepis,eryngium_yuccifolium_sporobolus_heterolepis,0.1574,,0.033307056,,5,0.384,,0.059180515,3,,0.3984,,0.187150902,5,,0.388,,0.115699323,3,
460,72,161,panicum_virgatum,parthenium_integrifolium,panicum_virgatum_parthenium_integrifolium,1.2034,,0.317937824,,5,1.867,,0.387894745,3,,1.2396,,0.173875415,5,,1.351,,0.257926992,3,
461,72,161,panicum_virgatum,ratibida_pinnata,panicum_virgatum_ratibida_pinnata,1.2034,,0.317937824,,5,3.2025,,0.1805,2,,1.1496,,0.143316643,5,,1.699666667,,0.072618486,3,
462,72,161,panicum_virgatum,rudbeckia_hirta,panicum_virgatum_rudbeckia_hirta,1.2034,,0.317937824,,5,2.361,,0.163826127,3,,1.2054,,0.263357286,5,,1.849666667,,0.277342949,3,
463,72,161,panicum_virgatum,sporobolus_heterolepis,panicum_virgatum_sporobolus_heterolepis,1.2034,,0.317937824,,5,1.555333333,,0.316416041,3,,0.3984,,0.187150902,5,,0.318333333,,0.109167048,3,
464,72,161,parthenium_integrifolium,ratibida_pinnata,parthenium_integrifolium_ratibida_pinnata,1.2396,,0.173875415,,5,1.425666667,,0.16431812,3,,1.1496,,0.143316643,5,,1.244666667,,0.185925911,3,
465,72,161,parthenium_integrifolium,rudbeckia_hirta,parthenium_integrifolium_rudbeckia_hirta,1.2396,,0.173875415,,5,1.245333333,,0.107985081,3,,1.2054,,0.263357286,5,,1.78,,0.473424052,3,
466,72,161,parthenium_integrifolium,sporobolus_heterolepis,parthenium_integrifolium_sporobolus_heterolepis,1.2396,,0.173875415,,5,1.306333333,,0.174166906,3,,0.3984,,0.187150902,5,,0.397666667,,0.151047822,3,
467,72,161,ratibida_pinnata,rudbeckia_hirta,ratibida_pinnata_rudbeckia_hirta,1.1496,,0.143316643,,5,1.137,,0.247047229,3,,1.2054,,0.263357286,5,,1.210333333,,0.481671511,3,
468,72,161,ratibida_pinnata,sporobolus_heterolepis,ratibida_pinnata_sporobolus_heterolepis,1.1496,,0.143316643,,5,1.12,,0.215019379,3,,0.3984,,0.187150902,5,,0.340666667,,0.20536661,3,
469,72,161,rudbeckia_hirta,sporobolus_heterolepis,rudbeckia_hirta_sporobolus_heterolepis,1.2054,,0.263357286,,5,1.266333333,,0.434793949,3,,0.3984,,0.187150902,5,,0.378666667,,0.088070679,3,
470,70,161,andropogon_gerardii,symphyotrichum_novae-angliae,andropogon_gerardii_symphyotrichum_novae-angliae,2.288,,0.311181619,,5,2.333333333,,0.165764223,3,,1.002,,0.09738583,5,,0.926666667,,0.247745389,3,
471,70,161,andropogon_gerardii,elymus_canadensis,andropogon_gerardii_elymus_canadensis,2.288,,0.311181619,,5,1.743666667,,0.077031018,3,,1.352,,0.223190501,5,,1.096666667,,0.344544788,3,
472,70,161,andropogon_gerardii,panicum_virgatum,andropogon_gerardii_panicum_virgatum,2.288,,0.311181619,,5,1.074333333,,0.499352024,3,,0.615,,0.345892565,4,,1.74,,0.05,2,
473,70,161,andropogon_gerardii,parthenium_integrifolium,andropogon_gerardii_parthenium_integrifolium,2.288,,0.311181619,,5,2.475666667,,0.512281281,3,,0.412,,0.217679351,5,,0.895,,0.655,2,
474,70,161,andropogon_gerardii,ratibida_pinnata,andropogon_gerardii_ratibida_pinnata,2.288,,0.311181619,,5,1.869,,0.372363174,3,,1.182,,0.159229394,5,,1.07,,0.252388589,3,
475,70,161,andropogon_gerardii,rudbeckia_hirta,andropogon_gerardii_rudbeckia_hirta,2.288,,0.311181619,,5,2.091333333,,0.322287829,3,,1.1426,,0.159073757,5,,0.883333333,,0.262445761,3,
476,70,161,andropogon_gerardii,sporobolus_heterolepis,andropogon_gerardii_sporobolus_heterolepis,2.288,,0.311181619,,5,0.8425,,0.0665,2,,0.2034,,0.037615954,5,,0.056666667,,0.012018504,3,
477,70,161,symphyotrichum_novae-angliae,elymus_canadensis,elymus_canadensis_symphyotrichum_novae-angliae,1.002,,0.09738583,,5,0.546666667,,0.044095855,3,,1.352,,0.223190501,5,,2.056666667,,0.208273325,3,
478,70,161,symphyotrichum_novae-angliae,panicum_virgatum,panicum_virgatum_symphyotrichum_novae-angliae,1.002,,0.09738583,,5,1.023333333,,0.126798177,3,,0.615,,0.345892565,4,,2.91,,0.50029991,3,
479,70,161,symphyotrichum_novae-angliae,parthenium_integrifolium,parthenium_integrifolium_symphyotrichum_novae-angliae,1.002,,0.09738583,,5,1.08,,0.287286152,3,,0.412,,0.217679351,5,,1.136666667,,0.181872971,3,
480,70,161,symphyotrichum_novae-angliae,ratibida_pinnata,ratibida_pinnata_symphyotrichum_novae-angliae,1.002,,0.09738583,,5,1.18,,0.068068593,3,,1.182,,0.159229394,5,,1.136666667,,0.174865027,3,
481,70,161,symphyotrichum_novae-angliae,rudbeckia_hirta,rudbeckia_hirta_symphyotrichum_novae-angliae,1.002,,0.09738583,,5,0.916666667,,0.077960104,3,,1.1426,,0.159073757,5,,1.206666667,,0.141696076,3,
482,70,161,symphyotrichum_novae-angliae,sporobolus_heterolepis,sporobolus_heterolepis_symphyotrichum_novae-angliae,1.002,,0.09738583,,5,0.839333333,,0.199199509,3,,0.2034,,0.037615954,5,,0.333333333,,0.088380491,3,
483,70,161,elymus_canadensis,panicum_virgatum,elymus_canadensis_panicum_virgatum,1.352,,0.223190501,,5,1.76,,0.36073998,3,,0.615,,0.345892565,4,,0.313333333,,0.12875472,3,
484,70,161,elymus_canadensis,parthenium_integrifolium,elymus_canadensis_parthenium_integrifolium,1.352,,0.223190501,,5,1.506,,0.257145873,3,,0.412,,0.217679351,5,,0.964333333,,0.115724289,3,
485,70,161,elymus_canadensis,ratibida_pinnata,elymus_canadensis_ratibida_pinnata,1.352,,0.223190501,,5,2.010666667,,0.220636453,3,,1.182,,0.159229394,5,,1.383333333,,0.148136574,3,
486,70,161,elymus_canadensis,rudbeckia_hirta,elymus_canadensis_rudbeckia_hirta,1.352,,0.223190501,,5,2.068,,0.411295514,3,,1.1426,,0.159073757,5,,1.146,,0.399771185,3,
487,70,161,elymus_canadensis,sporobolus_heterolepis,elymus_canadensis_sporobolus_heterolepis,1.352,,0.223190501,,5,1.972333333,,0.352191394,3,,0.2034,,0.037615954,5,,0.097,,0.078526004,3,
488,70,161,panicum_virgatum,parthenium_integrifolium,panicum_virgatum_parthenium_integrifolium,0.615,,0.345892565,,4,2.1,,0.35,2,,0.412,,0.217679351,5,,0.686333333,,0.266384017,3,
489,70,161,panicum_virgatum,ratibida_pinnata,panicum_virgatum_ratibida_pinnata,0.615,,0.345892565,,4,1.656666667,,0.64977774,3,,1.182,,0.159229394,5,,0.846666667,,0.275095943,3,
490,70,161,panicum_virgatum,rudbeckia_hirta,panicum_virgatum_rudbeckia_hirta,0.615,,0.345892565,,4,1.113333333,,0.163842743,3,,1.1426,,0.159073757,5,,1.455,,0.140919599,3,
491,70,161,panicum_virgatum,sporobolus_heterolepis,panicum_virgatum_sporobolus_heterolepis,0.615,,0.345892565,,4,1.14,,0.715005828,3,,0.2034,,0.037615954,5,,0.234,,0.038,2,
492,70,161,parthenium_integrifolium,ratibida_pinnata,parthenium_integrifolium_ratibida_pinnata,0.412,,0.217679351,,5,1.087,,0.026,2,,1.182,,0.159229394,5,,0.7,,0.396274316,3,
493,70,161,parthenium_integrifolium,rudbeckia_hirta,parthenium_integrifolium_rudbeckia_hirta,0.412,,0.217679351,,5,1.048,,0.143855251,3,,1.1426,,0.159073757,5,,1.093,,0.152716513,3,
494,70,161,parthenium_integrifolium,sporobolus_heterolepis,parthenium_integrifolium_sporobolus_heterolepis,0.412,,0.217679351,,5,0.705333333,,0.291768363,3,,0.2034,,0.037615954,5,,0.251666667,,0.120208615,3,
495,70,161,ratibida_pinnata,rudbeckia_hirta,ratibida_pinnata_rudbeckia_hirta,1.182,,0.159229394,,5,1.14,,0.07,3,,1.1426,,0.159073757,5,,1.173,,0.234640861,3,
496,70,161,ratibida_pinnata,sporobolus_heterolepis,ratibida_pinnata_sporobolus_heterolepis,1.182,,0.159229394,,5,0.84,,0.29280255,3,,0.2034,,0.037615954,5,,0.3,,0.189,2,
497,70,161,rudbeckia_hirta,sporobolus_heterolepis,rudbeckia_hirta_sporobolus_heterolepis,1.1426,,0.159073757,,5,0.931,,0.402162073,3,,0.2034,,0.037615954,5,,0.293,,0.035,2,
498,73,161,andropogon_gerardii,symphyotrichum_novae-angliae,andropogon_gerardii_symphyotrichum_novae-angliae,2.72,,0.283752533,,5,2.961666667,,0.586211092,3,,1.248,,0.081908486,5,,1.403666667,,0.4043086,3,
499,73,161,andropogon_gerardii,elymus_canadensis,andropogon_gerardii_elymus_canadensis,2.72,,0.283752533,,5,1.991333333,,0.667131754,3,,1.68325,,0.448520601,4,,2.075,,0.444704771,3,
500,73,161,andropogon_gerardii,panicum_virgatum,andropogon_gerardii_panicum_virgatum,2.72,,0.283752533,,5,2.383,,0.391735029,3,,2.4794,,0.329692978,5,,3.710666667,,0.429164434,3,
501,73,161,andropogon_gerardii,parthenium_integrifolium,andropogon_gerardii_parthenium_integrifolium,2.72,,0.283752533,,5,2.934333333,,1.56784112,3,,1.00125,,0.110457666,4,,1.009666667,,0.144584846,3,
502,73,161,andropogon_gerardii,ratibida_pinnata,andropogon_gerardii_ratibida_pinnata,2.72,,0.283752533,,5,2.805333333,,0.392143398,3,,1.0726,,0.113917777,5,,1.344,,0.43188463,3,
503,73,161,andropogon_gerardii,rudbeckia_hirta,andropogon_gerardii_rudbeckia_hirta,2.72,,0.283752533,,5,1.797333333,,0.712590657,3,,1.1592,,0.103198546,5,,1.745333333,,0.586951825,3,
504,73,161,andropogon_gerardii,sporobolus_heterolepis,andropogon_gerardii_sporobolus_heterolepis,2.72,,0.283752533,,5,1.498,,0.283052999,3,,0.9008,,0.553047683,5,,0.225666667,,0.02790659,3,
505,73,161,symphyotrichum_novae-angliae,elymus_canadensis,elymus_canadensis_symphyotrichum_novae-angliae,1.248,,0.081908486,,5,0.868666667,,0.0545568,3,,1.68325,,0.448520601,4,,2.146666667,,0.282752149,3,
506,73,161,symphyotrichum_novae-angliae,panicum_virgatum,panicum_virgatum_symphyotrichum_novae-angliae,1.248,,0.081908486,,5,0.811666667,,0.103334946,3,,2.4794,,0.329692978,5,,2.728,,0.300929117,3,
507,73,161,symphyotrichum_novae-angliae,parthenium_integrifolium,parthenium_integrifolium_symphyotrichum_novae-angliae,1.248,,0.081908486,,5,1.279666667,,0.094064399,3,,1.00125,,0.110457666,4,,0.814333333,,0.233333333,3,
508,73,161,symphyotrichum_novae-angliae,ratibida_pinnata,ratibida_pinnata_symphyotrichum_novae-angliae,1.248,,0.081908486,,5,1.015,,0.06767816,3,,1.0726,,0.113917777,5,,1.001,,0.143949065,3,
509,73,161,symphyotrichum_novae-angliae,rudbeckia_hirta,rudbeckia_hirta_symphyotrichum_novae-angliae,1.248,,0.081908486,,5,0.979333333,,0.199547265,3,,1.1592,,0.103198546,5,,1.534,,0.331436771,3,
510,73,161,symphyotrichum_novae-angliae,sporobolus_heterolepis,sporobolus_heterolepis_symphyotrichum_novae-angliae,1.248,,0.081908486,,5,1.089,,0.122315167,3,,0.9008,,0.553047683,5,,0.307,,0.211523837,3,
511,73,161,elymus_canadensis,panicum_virgatum,elymus_canadensis_panicum_virgatum,1.68325,,0.448520601,,4,2.022666667,,0.042262408,3,,2.4794,,0.329692978,5,,2.309333333,,0.463645459,3,
512,73,161,elymus_canadensis,parthenium_integrifolium,elymus_canadensis_parthenium_integrifolium,1.68325,,0.448520601,,4,1.325,,0.143847141,3,,1.00125,,0.110457666,4,,1.107,,0.367787982,3,
513,73,161,elymus_canadensis,ratibida_pinnata,elymus_canadensis_ratibida_pinnata,1.68325,,0.448520601,,4,1.126,,0.468658013,3,,1.0726,,0.113917777,5,,1.075,,0.084642385,3,
514,73,161,elymus_canadensis,rudbeckia_hirta,elymus_canadensis_rudbeckia_hirta,1.68325,,0.448520601,,4,2.298666667,,0.655668954,3,,1.1592,,0.103198546,5,,0.861333333,,0.07027881,3,
515,73,161,elymus_canadensis,sporobolus_heterolepis,elymus_canadensis_sporobolus_heterolepis,1.68325,,0.448520601,,4,0.622666667,,0.129437673,3,,0.9008,,0.553047683,5,,0.240666667,,0.128143583,3,
516,73,161,panicum_virgatum,parthenium_integrifolium,panicum_virgatum_parthenium_integrifolium,2.4794,,0.329692978,,5,1.921666667,,0.425246726,3,,1.00125,,0.110457666,4,,1.171333333,,0.190238739,3,
517,73,161,panicum_virgatum,ratibida_pinnata,panicum_virgatum_ratibida_pinnata,2.4794,,0.329692978,,5,1.722666667,,0.761673669,3,,1.0726,,0.113917777,5,,0.951333333,,0.320868786,3,
518,73,161,panicum_virgatum,rudbeckia_hirta,panicum_virgatum_rudbeckia_hirta,2.4794,,0.329692978,,5,2.299,,0.062193247,3,,1.1592,,0.103198546,5,,1.105,,0.466516166,3,
519,73,161,panicum_virgatum,sporobolus_heterolepis,panicum_virgatum_sporobolus_heterolepis,2.4794,,0.329692978,,5,2.407333333,,0.284352676,3,,0.9008,,0.553047683,5,,0.688333333,,0.125153683,3,
520,73,161,parthenium_integrifolium,ratibida_pinnata,parthenium_integrifolium_ratibida_pinnata,1.00125,,0.110457666,,4,1.117666667,,0.02338328,3,,1.0726,,0.113917777,5,,0.634,,0.080164415,3,
521,73,161,parthenium_integrifolium,rudbeckia_hirta,parthenium_integrifolium_rudbeckia_hirta,1.00125,,0.110457666,,4,1.502,,0.058,2,,1.1592,,0.103198546,5,,1.449,,0.385918817,3,
522,73,161,parthenium_integrifolium,sporobolus_heterolepis,parthenium_integrifolium_sporobolus_heterolepis,1.00125,,0.110457666,,4,1.498,,0.19025334,3,,0.9008,,0.553047683,5,,0.7165,,0.0185,2,
523,73,161,ratibida_pinnata,rudbeckia_hirta,ratibida_pinnata_rudbeckia_hirta,1.0726,,0.113917777,,5,1.109333333,,0.057452395,3,,1.1592,,0.103198546,5,,1.492333333,,0.107883167,3,
524,73,161,ratibida_pinnata,sporobolus_heterolepis,ratibida_pinnata_sporobolus_heterolepis,1.0726,,0.113917777,,5,1.017666667,,0.220952735,3,,0.9008,,0.553047683,5,,0.431,,0.162169664,3,
525,73,161,rudbeckia_hirta,sporobolus_heterolepis,rudbeckia_hirta_sporobolus_heterolepis,1.1592,,0.103198546,,5,1.21,,0.228180484,3,,0.9008,,0.553047683,5,,0.317666667,,0.048129455,3,
526,74,161,andropogon_gerardii,symphyotrichum_novae-angliae,andropogon_gerardii_symphyotrichum_novae-angliae,2.337,,0.507530393,,5,3.734333333,,0.519932795,3,,1.425,,0.133665253,5,,1.115333333,,0.095170607,3,
527,74,161,andropogon_gerardii,elymus_canadensis,andropogon_gerardii_elymus_canadensis,2.337,,0.507530393,,5,1.193333333,,0.221835024,3,,0.8652,,0.283240781,5,,0.8565,,0.5715,2,
528,74,161,andropogon_gerardii,panicum_virgatum,andropogon_gerardii_panicum_virgatum,2.337,,0.507530393,,5,1.8865,,0.0335,2,,0.97725,,0.444239308,4,,1.9715,,0.1515,2,
529,74,161,andropogon_gerardii,parthenium_integrifolium,andropogon_gerardii_parthenium_integrifolium,2.337,,0.507530393,,5,2.060666667,,0.577045733,3,,0.8456,,0.174041834,5,,1.222,,0.375445069,3,
530,74,161,andropogon_gerardii,ratibida_pinnata,andropogon_gerardii_ratibida_pinnata,2.337,,0.507530393,,5,3.3185,,0.1335,2,,1.1568,,0.132983232,5,,0.992,,0.236307709,3,
531,74,161,andropogon_gerardii,rudbeckia_hirta,andropogon_gerardii_rudbeckia_hirta,2.337,,0.507530393,,5,2.307,,0,1,,0.8855,,0.15191253,4,,1.226333333,,0.381843045,3,
532,74,161,andropogon_gerardii,sporobolus_heterolepis,andropogon_gerardii_sporobolus_heterolepis,2.337,,0.507530393,,5,1.865,,0.728,2,,0.1135,,0.0355,2,,0.709,,0,1,
533,74,161,symphyotrichum_novae-angliae,elymus_canadensis,elymus_canadensis_symphyotrichum_novae-angliae,1.425,,0.133665253,,5,1.106666667,,0.415378275,3,,0.8652,,0.283240781,5,,1.843333333,,0.37173527,3,
534,74,161,symphyotrichum_novae-angliae,panicum_virgatum,panicum_virgatum_symphyotrichum_novae-angliae,1.425,,0.133665253,,5,1.081333333,,0.124317246,3,,0.97725,,0.444239308,4,,1.824666667,,0.880833192,3,
535,74,161,symphyotrichum_novae-angliae,parthenium_integrifolium,parthenium_integrifolium_symphyotrichum_novae-angliae,1.425,,0.133665253,,5,1.155333333,,0.107372146,3,,0.8456,,0.174041834,5,,1.500666667,,0.394416165,3,
